Symbol,Name,Current Price,P/E Ratio,Turnover,Market Cap,Timestamp,Recommendation
Tesla,Tesla,,,,,2024-11-24T19:10:42.146080,Sell
AAPL,Apple Inc.,229.87,37.86985,36963884.0,3474668650496.0,2024-11-24T19:10:42.483101,Buy
MSFT,Microsoft Corporation,417.0,34.491314,23974802.0,3100344844288.0,2024-11-24T19:10:42.823554,Buy
AMZN,"Amazon.com, Inc.",197.12,42.209846,31424971.0,2072716771328.0,2024-11-24T19:10:43.160029,Buy
GOOGL,Alphabet Inc.,164.76,21.822515,38528278.0,2026844585984.0,2024-11-24T19:10:43.495788,Buy
META,"Meta Platforms, Inc.",559.14,26.386974,9044809.0,1411543334912.0,2024-11-24T19:10:43.834519,Buy
NVDA,NVIDIA Corporation,141.95,56.10672,236406154.0,3476355547136.0,2024-11-24T19:10:44.176666,Buy
NFLX,"Netflix, Inc.",897.79,50.75127,2959049.0,383767478272.0,2024-11-24T19:10:44.527598,Buy
ADBE,Adobe Inc.,512.15,43.29248,2263657.0,225448443904.0,2024-11-24T19:10:44.867987,Buy
INTC,Intel Corporation,24.5,,31002178.0,105668501504.0,2024-11-24T19:10:45.206341,Buy
